fen,score_cp
"3r4/2R5/2p1k1P1/1p6/4K3/1P1B3r/1P6/8 b - - 2 41",237
"8/2R5/2p1k1P1/1p6/4K3/1P1r3r/1P6/8 w - - 0 42",-169
"8/8/2R1k1P1/1p6/4K3/1P1r3r/1P6/8 b - - 0 42",173
"8/3k4/2R3P1/1p6/4K3/1P1r3r/1P6/8 w - - 1 43",-237
"8/3k4/R5P1/1p6/4K3/1P1r3r/1P6/8 b - - 2 43",210
"8/3k4/R5P1/1p6/4K3/1P1r2r1/1P6/8 w - - 3 44",-186
"8/R2k4/6P1/1p6/4K3/1P1r2r1/1P6/8 b - - 4 44",289
"8/R7/4k1P1/1p6/4K3/1P1r2r1/1P6/8 w - - 5 45",-194
"8/R7/4k1P1/1p6/1P2K3/3r2r1/1P6/8 b - - 0 45",252
"8/R2r4/4k1P1/1p6/1P2K3/6r1/1P6/8 w - - 1 46",-246
"8/3R4/4k1P1/1p6/1P2K3/6r1/1P6/8 b - - 0 46",246
"8/3k4/6P1/1p6/1P2K3/6r1/1P6/8 w - - 0 47",-285
"8/3k4/6P1/1p3K2/1P6/6r1/1P6/8 b - - 1 47",418
"8/4k3/6P1/1p3K2/1P6/6r1/1P6/8 w - - 2 48",-468
"8/4k3/6P1/1p3K2/1P6/1P4r1/8/8 b - - 0 48",387
"8/4k3/6P1/1p3K2/1P6/1P3r2/8/8 w - - 1 49",-311
"8/4k3/6P1/1p6/1P2K3/1P3r2/8/8 b - - 2 49",437
"8/4k3/5rP1/1p6/1P2K3/1P6/8/8 w - - 3 50",-328
"8/4k3/5rP1/1p1K4/1P6/1P6/8/8 b - - 4 50",332
"8/4k3/6r1/1p1K4/1P6/1P6/8/8 w - - 0 51",-497
"8/4k3/6r1/1pK5/1P6/1P6/8/8 b - - 1 51",489
"8/4k3/8/1pK3r1/1P6/1P6/8/8 w - - 2 52",-499
"8/4k3/8/1p4r1/1P1K4/1P6/8/8 b - - 3 52",485
"8/4k3/8/1p5r/1P1K4/1P6/8/8 w - - 4 53",-511
"8/4k3/8/1p5r/1P6/1P2K3/8/8 b - - 5 53",536
"8/8/3k4/1p5r/1P6/1P2K3/8/8 w - - 6 54",-525
"8/8/3k4/1p5r/1P2K3/1P6/8/8 b - - 7 54",520
"8/8/3k4/1p6/1P2K2r/1P6/8/8 w - - 8 55",-589
"8/8/3k4/1p6/1P5r/1P1K4/8/8 b - - 9 55",554
"8/8/3k4/1p6/1r6/1P1K4/8/8 w - - 0 56",-596
"8/8/3k4/1p6/1r6/1P6/2K5/8 b - - 1 56",592
"8/8/8/1pk5/1r6/1P6/2K5/8 w - - 2 57",-589
"8/8/8/1pk5/1r6/1PK5/8/8 b - - 3 57",592
"8/8/8/1pk5/3r4/1PK5/8/8 w - - 4 58",-598
"8/8/8/1pk5/3r4/1P6/1K6/8 b - - 5 58",668
"8/8/8/1p6/1k1r4/1P6/1K6/8 w - - 6 59",-723
