fen,score_cp
"r5k1/1pp2ppp/1p1n4/2n1p3/3P2P1/r1P2P2/PR2Q2P/6K1 b - - 0 21",504
"r5k1/1pp2ppp/1p1n4/4p3/n2P2P1/r1P2P2/PR2Q2P/6K1 w - - 1 22",-482
"r5k1/1pp2ppp/1p1n4/4P3/n5P1/r1P2P2/PR2Q2P/6K1 b - - 0 22",590
"r5k1/1pp2ppp/1p1n4/4P3/6P1/r1n2P2/PR2Q2P/6K1 w - - 0 23",-465
"r5k1/1pp2ppp/1p1n4/4P3/6P1/r1nQ1P2/PR5P/6K1 b - - 1 23",547
"r3n1k1/1pp2ppp/1p6/4P3/6P1/r1nQ1P2/PR5P/6K1 w - - 2 24",-320
"r3n1k1/1pp2ppp/1p6/4P3/6P1/rRnQ1P2/P6P/6K1 b - - 3 24",377
"r3n1k1/1pp2ppp/1p6/4P3/6P1/1RnQ1P2/r6P/6K1 w - - 0 25",-347
"r3n1k1/1pp2ppp/1p6/4P3/6P1/1RQ2P2/r6P/6K1 b - - 0 25",464
"r3n1k1/1pp2ppp/1p6/4P3/6P1/1RQ2P2/4r2P/6K1 w - - 1 26",-294
"r3n1k1/1pp2ppp/1p6/4P3/6P1/R1Q2P2/4r2P/6K1 b - - 2 26",416
"3rn1k1/1pp2ppp/1p6/4P3/6P1/R1Q2P2/4r2P/6K1 w - - 3 27",-383
"3rn1k1/1pp2ppp/1p6/4P3/6P1/2Q2P2/4r2P/R5K1 b - - 4 27",396
"3rn1k1/1pp2ppp/8/1p2P3/6P1/2Q2P2/4r2P/R5K1 w - - 0 28",-288
"3rn1k1/1pp2ppp/8/1pQ1P3/6P1/5P2/4r2P/R5K1 b - - 1 28",334
"3rn1k1/1p3ppp/2p5/1pQ1P3/6P1/5P2/4r2P/R5K1 w - - 0 29",-204
"3rn1k1/1p2Qppp/2p5/1p2P3/6P1/5P2/4r2P/R5K1 b - - 1 29",216
"1r2n1k1/1p2Qppp/2p5/1p2P3/6P1/5P2/4r2P/R5K1 w - - 2 30",-213
"1r2n1k1/1p2Qppp/2p5/1p2P1P1/8/5P2/4r2P/R5K1 b - - 0 30",211
"1r2n1k1/1p2Q1pp/2p2p2/1p2P1P1/8/5P2/4r2P/R5K1 w - - 0 31",-74
"1r2n1k1/1p2Q1pp/2p1Pp2/1p4P1/8/5P2/4r2P/R5K1 b - - 0 31",72
"1r2n1k1/1p2Q1p1/2p1Pp1p/1p4P1/8/5P2/4r2P/R5K1 w - - 0 32",-10
"1r2n1k1/1p2Q1p1/2p1Pp1P/1p6/8/5P2/4r2P/R5K1 b - - 0 32",-14
"1r2n1k1/1p2Q1p1/2p1Pp1P/1p6/8/5P2/3r3P/R5K1 w - - 1 33",122
"1r2n1k1/1p2Q1P1/2p1Pp2/1p6/8/5P2/3r3P/R5K1 b - - 0 33",-147
"1r4k1/1p2Q1n1/2p1Pp2/1p6/8/5P2/3r3P/R5K1 w - - 0 34",64
"1r4k1/1p2Q1n1/2p1Pp2/1p6/8/5P2/3r3P/4R1K1 b - - 1 34",-37
"4r1k1/1p2Q1n1/2p1Pp2/1p6/8/5P2/3r3P/4R1K1 w - - 2 35",94
"4r1k1/1Q4n1/2p1Pp2/1p6/8/5P2/3r3P/4R1K1 b - - 0 35",-47
"4r1k1/1Q6/2p1np2/1p6/8/5P2/3r3P/4R1K1 w - - 0 36",127
"4r1k1/8/2Q1np2/1p6/8/5P2/3r3P/4R1K1 b - - 0 36",-108
"4r3/5k2/2Q1np2/1p6/8/5P2/3r3P/4R1K1 w - - 1 37",120
"4r3/1Q3k2/4np2/1p6/8/5P2/3r3P/4R1K1 b - - 2 37",-55
"8/1Q2rk2/4np2/1p6/8/5P2/3r3P/4R1K1 w - - 3 38",142
"8/4rk2/4np2/1Q6/8/5P2/3r3P/4R1K1 b - - 0 38",-107
"6k1/4r3/4np2/1Q6/8/5P2/3r3P/4R1K1 w - - 1 39",154
"6k1/4r3/1Q2np2/8/8/5P2/3r3P/4R1K1 b - - 2 39",-109
"6k1/6r1/1Q2np2/8/8/5P2/3r3P/4R1K1 w - - 3 40",216
"6k1/6r1/1Q2np2/8/8/5P2/3r3P/4R2K b - - 4 40",-177
"6k1/2n3r1/1Q3p2/8/8/5P2/3r3P/4R2K w - - 5 41",229
"6k1/2n3r1/5Q2/8/8/5P2/3r3P/4R2K b - - 0 41",-241
"6k1/2n3r1/5Q2/3r4/8/5P2/7P/4R2K w - - 1 42",300
"6k1/2n3r1/5Q2/3r4/7P/5P2/8/4R2K b - - 0 42",-280
"6k1/2nr2r1/5Q2/8/7P/5P2/8/4R2K w - - 1 43",346
"6k1/2nr2r1/5Q2/7P/8/5P2/8/4R2K b - - 0 43",-284
"6k1/2n2rr1/5Q2/7P/8/5P2/8/4R2K w - - 1 44",435
"6k1/2n2rr1/8/7P/7Q/5P2/8/4R2K b - - 2 44",-346
"6k1/2n3r1/8/7P/7Q/5r2/8/4R2K w - - 0 45",364
"6k1/2n3r1/8/7P/7Q/5r2/8/2R4K b - - 1 45",-226
"6k1/6r1/4n3/7P/7Q/5r2/8/2R4K w - - 2 46",480
"6k1/6r1/4n2P/8/7Q/5r2/8/2R4K b - - 0 46",-282
"6k1/6r1/4n2P/8/5r1Q/8/8/2R4K w - - 1 47",505
"6k1/6r1/4n2P/8/5r2/7Q/8/2R4K b - - 2 47",-343
"6k1/4r3/4n2P/8/5r2/7Q/8/2R4K w - - 3 48",533
"6k1/4r3/4n2P/8/5r2/7Q/8/4R2K b - - 4 48",-554
"6k1/4r3/4nr1P/8/8/7Q/8/4R2K w - - 5 49",267
"6k1/4r3/4nr1P/8/7Q/8/8/4R2K b - - 6 49",-552
"6k1/5r2/4nr1P/8/7Q/8/8/4R2K w - - 7 50",616
"6k1/5r2/4Rr1P/8/7Q/8/8/7K b - - 0 50",-706
"6k1/5r2/4R2P/8/7Q/8/8/5r1K w - - 1 51",603
"6k1/5r2/4R2P/8/7Q/8/6K1/5r2 b - - 2 51",-618
"8/5r1k/4R2P/8/7Q/8/6K1/5r2 w - - 3 52",645
"8/5r1k/4R2P/8/8/6Q1/6K1/5r2 b - - 4 52",-622
"7k/5r2/4R2P/8/8/6Q1/6K1/5r2 w - - 5 53",856
"4R2k/5r2/7P/8/8/6Q1/6K1/5r2 b - - 6 53",-909
"4R3/5r1k/7P/8/8/6Q1/6K1/5r2 w - - 7 54",888
"4R1Q1/5r1k/7P/8/8/8/6K1/5r2 b - - 8 54",-878
"4R1Q1/5r2/7k/8/8/8/6K1/5r2 w - - 0 55",856
"4R2Q/5r2/7k/8/8/8/6K1/5r2 b - - 1 55",-838
"4R2Q/5r2/8/6k1/8/8/6K1/5r2 w - - 2 56",850
"6RQ/5r2/8/6k1/8/8/6K1/5r2 b - - 3 56",-911
"6RQ/5r2/8/5k2/8/8/6K1/5r2 w - - 4 57",901
"6RQ/5r2/8/5k2/8/8/8/5K2 b - - 0 57",-897
"6RQ/5r2/4k3/8/8/8/8/5K2 w - - 1 58",943
"6RQ/5r2/4k3/8/8/8/4K3/8 b - - 2 58",-917
"6RQ/4r3/4k3/8/8/8/4K3/8 w - - 3 59",951
"5R1Q/4r3/4k3/8/8/8/4K3/8 b - - 4 59",-921
"5R1Q/4r3/8/3k4/8/8/4K3/8 w - - 5 60",957
"5R1Q/4r3/8/3k4/8/3K4/8/8 b - - 6 60",-1491
"5R1Q/8/8/3k4/8/3K4/8/4r3 w - - 7 61",1478
"5R2/8/8/3k4/3Q4/3K4/8/4r3 b - - 8 61",-1541
"5R2/8/2k5/8/3Q4/3K4/8/4r3 w - - 9 62",1533
"5R2/8/2k5/8/8/2QK4/8/4r3 b - - 10 62",-1486
"r1bqkb1r/ppp2ppp/2n2n2/6B1/2ppP2N/8/PPP2PPP/RN1QK2R w KQkq - 0 7",-660
"r1bqkb1r/ppp2ppp/2n2n2/6B1/2ppP3/5N2/PPP2PPP/RN1QK2R b KQkq - 1 7",594
"r1b1kb1r/ppp1qppp/2n2n2/6B1/2ppP3/5N2/PPP2PPP/RN1QK2R w KQkq - 2 8",-476
"r1b1kb1r/ppp1qppp/2n2n2/6B1/2ppP3/5N2/PPPN1PPP/R2QK2R b KQkq - 3 8",652
"r1b1kb1r/ppp2ppp/2n2n2/6B1/1qppP3/5N2/PPPN1PPP/R2QK2R w KQkq - 4 9",-492
"r1b1kb1r/ppp2ppp/2n2n2/8/1qppPB2/5N2/PPPN1PPP/R2QK2R b KQkq - 5 9",553
"r1b1k2r/ppp2ppp/2nb1n2/8/1qppPB2/5N2/PPPN1PPP/R2QK2R w KQkq - 6 10",-659
"r1b1k2r/ppp2ppp/2nb1n2/4P3/1qpp1B2/5N2/PPPN1PPP/R2QK2R b KQkq - 0 10",617
"r1b1k2r/ppp2ppp/2nb1n2/4P3/1q1p1B2/2p2N2/PPPN1PPP/R2QK2R w KQkq - 0 11",-614
"r1b1k2r/ppp2ppp/2nP1n2/8/1q1p1B2/2p2N2/PPPN1PPP/R2QK2R b KQkq - 0 11",610
"r1b1k2r/ppp2ppp/2nP1n2/8/1q1p1B2/5N2/PpPN1PPP/R2QK2R w KQkq - 0 12",-587
"r1b1k2r/ppp2ppp/2nP1n2/8/1q1p1B2/5N2/PpPN1PPP/1R1QK2R b Kkq - 1 12",518
"r1b1k2r/ppp2ppp/2nP1n2/8/1q3B2/3p1N2/PpPN1PPP/1R1QK2R w Kkq - 0 13",-434
"r1b1k2r/ppp2ppp/2nP1n2/8/1q6/3p1NB1/PpPN1PPP/1R1QK2R b Kkq - 1 13",676
"r1b2rk1/ppp2ppp/2nP1n2/8/1q6/3p1NB1/PpPN1PPP/1R1QK2R w K - 2 14",-295
"r1b2rk1/ppp2ppp/2nP1n2/8/1q6/3p1NB1/PpPN1PPP/1R1Q1RK1 b - - 3 14",541
"r1b2rk1/ppp2ppp/2nP1n2/2q5/8/3p1NB1/PpPN1PPP/1R1Q1RK1 w - - 4 15",-397
"r1b2rk1/ppp2ppp/2nP1n2/2q5/8/3p1NB1/PRPN1PPP/3Q1RK1 b - - 0 15",421
"r1b1r1k1/ppp2ppp/2nP1n2/2q5/8/3p1NB1/PRPN1PPP/3Q1RK1 w - - 1 16",-334
"r1b1r1k1/ppp2ppp/2nP1n2/2q5/8/3p1NB1/PRPN1PPP/3QR1K1 b - - 2 16",354
"r1b3k1/ppp2ppp/2nPrn2/2q5/8/3p1NB1/PRPN1PPP/3QR1K1 w - - 3 17",-178
"r1b3k1/ppP2ppp/2n1rn2/2q5/8/3p1NB1/PRPN1PPP/3QR1K1 b - - 0 17",187
"r1b3k1/ppP2pp1/2n1rn1p/2q5/8/3p1NB1/PRPN1PPP/3QR1K1 w - - 0 18",-168
"r1b3k1/ppP2pp1/2n1rn1p/2q5/8/1N1p1NB1/PRP2PPP/3QR1K1 b - - 1 18",181
"r1b3k1/ppP2pp1/2n1rn1p/8/8/1Nqp1NB1/PRP2PPP/3QR1K1 w - - 2 19",-175
"r1b3k1/ppP2pp1/2n1Rn1p/8/8/1Nqp1NB1/PRP2PPP/3Q2K1 b - - 0 19",281
"r5k1/ppP2pp1/2n1bn1p/8/8/1Nqp1NB1/PRP2PPP/3Q2K1 w - - 0 20",-181
"r5k1/ppP2pp1/2n1bn1p/8/8/1Nqp1NB1/PRP2PPP/2Q3K1 b - - 1 20",261
"r5k1/ppP2pp1/2n1b2p/8/6n1/1Nqp1NB1/PRP2PPP/2Q3K1 w - - 2 21",57
"r5k1/ppP2pp1/2n1b2p/8/6n1/1NqP1NB1/PR3PPP/2Q3K1 b - - 0 21",133
"r5k1/ppP2pp1/2n1bq1p/8/6n1/1N1P1NB1/PR3PPP/2Q3K1 w - - 1 22",124
"r5k1/ppP2pp1/2n1bq1p/8/6n1/1N1P1NB1/P3RPPP/2Q3K1 b - - 2 22",2
"r5k1/ppP2pp1/2n2q1p/3b4/6n1/1N1P1NB1/P3RPPP/2Q3K1 w - - 3 23",124
"r5k1/ppP2pp1/2n2q1p/3b4/3N2n1/1N1P2B1/P3RPPP/2Q3K1 b - - 4 23",-169
"r5k1/ppP2pp1/2n3qp/3b4/3N2n1/1N1P2B1/P3RPPP/2Q3K1 w - - 5 24",171
"r5k1/ppP2pp1/2N3qp/3b4/6n1/1N1P2B1/P3RPPP/2Q3K1 b - - 0 24",-174
"r5k1/ppP2pp1/2b3qp/8/6n1/1N1P2B1/P3RPPP/2Q3K1 w - - 0 25",258
"r5k1/ppP2pp1/2b3qp/8/6n1/1NQP2B1/P3RPPP/6K1 b - - 1 25",-250
"r5k1/ppP2pp1/2b3qp/8/8/1NQP2B1/P3RPPn/6K1 w - - 0 26",458
"r5k1/ppP2pp1/2b3qp/8/3N4/2QP2B1/P3RPPn/6K1 b - - 1 26",-440
"r5k1/ppPb1pp1/6qp/8/3N4/2QP2B1/P3RPPn/6K1 w - - 2 27",624
"r5k1/ppPb1pp1/6qp/8/3N4/2QP4/P3RPPB/6K1 b - - 0 27",-519
"r7/ppPb1ppk/6qp/8/3N4/2QP4/P3RPPB/6K1 w - - 1 28",641
"r7/ppPb1ppk/6qp/8/3N4/2QP2B1/P3RPP1/6K1 b - - 2 28",-507
"r7/ppP2ppk/6qp/8/3N2b1/2QP2B1/P3RPP1/6K1 w - - 3 29",612
"r7/ppP2ppk/6qp/8/3N2b1/2QPR1B1/P4PP1/6K1 b - - 4 29",-582
"r7/ppP2ppk/7p/7q/3N2b1/2QPR1B1/P4PP1/6K1 w - - 5 30",678
"r7/ppP2ppk/7p/7q/3N2b1/1Q1PR1B1/P4PP1/6K1 b - - 6 30",-615
"r1b5/ppP2ppk/7p/7q/3N4/1Q1PR1B1/P4PP1/6K1 w - - 7 31",829
"r1b1R3/ppP2ppk/7p/7q/3N4/1Q1P2B1/P4PP1/6K1 b - - 8 31",-648
"r1b1R3/ppP2ppk/7p/2q5/3N4/1Q1P2B1/P4PP1/6K1 w - - 9 32",865
"r1b1R3/ppP2ppk/7p/2q5/3N4/3P2B1/PQ3PP1/6K1 b - - 10 32",-688
"r1b1R3/ppP3pk/5p1p/2q5/3N4/3P2B1/PQ3PP1/6K1 w - - 0 33",792
"r1b1R3/ppP3pk/5p1p/2q5/8/3P1NB1/PQ3PP1/6K1 b - - 1 33",-740
"r1b1R3/1pP3pk/5p1p/p1q5/8/3P1NB1/PQ3PP1/6K1 w - - 0 34",873
"r1bR4/1pP3pk/5p1p/p1q5/8/3P1NB1/PQ3PP1/6K1 b - - 1 34",-810
"r1bR4/1pP3pk/5p1p/2q5/p7/3P1NB1/PQ3PP1/6K1 w - - 0 35",984
"r1bR4/1pP3pk/5p1p/2q5/p2P4/5NB1/PQ3PP1/6K1 b - - 0 35",-791
"r1bR4/1pP3pk/5p1p/5q2/p2P4/5NB1/PQ3PP1/6K1 w - - 1 36",915
"r1bR4/1pP3pk/5p1p/5q2/p2P4/P4NB1/1Q3PP1/6K1 b - - 0 36",-705
"r1bR4/1pP3pk/5p1p/8/p2P4/P2q1NB1/1Q3PP1/6K1 w - - 1 37",786
"r1bR4/1pP3pk/5p1p/8/p2P4/P2q1NB1/5PP1/Q5K1 b - - 2 37",-683
"r1bR4/1pP3pk/5p1p/8/p2Pq3/P4NB1/5PP1/Q5K1 w - - 3 38",943
"r1bR4/1pP3pk/5p1p/8/p2Pq3/P4NB1/5PP1/3Q2K1 b - - 4 38",-707
"r1bR4/1pP4k/5ppp/8/p2Pq3/P4NB1/5PP1/3Q2K1 w - - 0 39",982
"r1bR4/1pP4k/5ppp/3P4/p3q3/P4NB1/5PP1/3Q2K1 b - - 0 39",-773
"r1bR4/1pP4k/5ppp/3P4/p1q5/P4NB1/5PP1/3Q2K1 w - - 1 40",1247
"r1b1kb1r/pp2pppp/1qn2n2/1BppP3/8/2N2Q2/PPPP1PPP/R1B1K1NR w KQkq - 1 6",761
"r1b1kb1r/pp2pppp/1qn2P2/1Bpp4/8/2N2Q2/PPPP1PPP/R1B1K1NR b KQkq - 0 6",-626
"r3kb1r/pp2pppp/1qn2P2/1Bpp4/6b1/2N2Q2/PPPP1PPP/R1B1K1NR w KQkq - 1 7",995
"r3kb1r/pp2pppp/1qn2P2/1Bpp4/6Q1/2N5/PPPP1PPP/R1B1K1NR b KQkq - 0 7",-964
"r3kb1r/pp2pp1p/1qn2Pp1/1Bpp4/6Q1/2N5/PPPP1PPP/R1B1K1NR w KQkq - 0 8",1199
"r3kb1r/pp2Pp1p/1qn3p1/1Bpp4/6Q1/2N5/PPPP1PPP/R1B1K1NR b KQkq - 0 8",-996
"r3kb1r/pp2Pp2/1qn3p1/1Bpp3p/6Q1/2N5/PPPP1PPP/R1B1K1NR w KQkq - 0 9",1590
"r3kb1r/pp2Pp2/1qn3p1/1Bpp3p/8/2N5/PPPPQPPP/R1B1K1NR b KQkq - 1 9",-1185
"r3k2r/pp2bp2/1qn3p1/1Bpp3p/8/2N5/PPPPQPPP/R1B1K1NR w KQkq - 0 10",1304
"rnb1kb1r/pp3ppp/2ppp3/q7/2PPNP2/8/PP2P1PP/RNBQKB1R w KQkq - 1 7",377
"rnb1kb1r/pp3ppp/2ppp3/q7/2PPNP2/2N5/PP2P1PP/R1BQKB1R b KQkq - 2 7",-233
"rnb1kb1r/pp3ppp/2p1p3/q2p4/2PPNP2/2N5/PP2P1PP/R1BQKB1R w KQkq - 0 8",354
"rnb1kb1r/pp3ppp/2p1p3/q2p2N1/2PP1P2/2N5/PP2P1PP/R1BQKB1R b KQkq - 1 8",-626
"r1b1kb1r/pp3ppp/n1p1p3/q2p2N1/2PP1P2/2N5/PP2P1PP/R1BQKB1R w KQkq - 2 9",743
"r1b1kb1r/pp3ppp/n1p1p3/q2p2N1/2PP1P2/2N1P3/PP4PP/R1BQKB1R b KQkq - 0 9",-546
"r1b1kb1r/pp4pp/n1p1pp2/q2p2N1/2PP1P2/2N1P3/PP4PP/R1BQKB1R w KQkq - 0 10",739
"r1b1kb1r/pp4pp/n1p1pp2/q2p2N1/2PP1P2/2NBP3/PP4PP/R1BQK2R b KQkq - 1 10",-720
"r1b1kb1r/pp4p1/n1p1pp1p/q2p2N1/2PP1P2/2NBP3/PP4PP/R1BQK2R w KQkq - 0 11",777
"r1b1kb1r/pp4p1/n1p1pp1p/q2p2NQ/2PP1P2/2NBP3/PP4PP/R1B1K2R b KQkq - 1 11",-726
"r1b1kb1r/pp6/n1p1pppp/q2p2NQ/2PP1P2/2NBP3/PP4PP/R1B1K2R w KQkq - 0 12",997
"r1b1kb1r/pp6/n1p1ppQp/q2p2N1/2PP1P2/2NBP3/PP4PP/R1B1K2R b KQkq - 0 12",-915
"r1b2b1r/pp1k4/n1p1ppQp/q2p2N1/2PP1P2/2NBP3/PP4PP/R1B1K2R w KQ - 1 13",1056
"rnb1k1nr/p1pp1ppp/8/1N2p1q1/2B1P3/6P1/PPPPNP1P/R1BQK2R b KQkq - 0 6",-956
"r1b1k1nr/p1pp1ppp/n7/1N2p1q1/2B1P3/6P1/PPPPNP1P/R1BQK2R w KQkq - 1 7",910
"r1b1k1nr/p1pp1ppp/n7/1N2p1q1/2B1P3/3P2P1/PPP1NP1P/R1BQK2R b KQkq - 0 7",-925
"r1b2knr/p1pp1ppp/n7/1N2p1q1/2B1P3/3P2P1/PPP1NP1P/R1BQK2R w KQ - 1 8",2078
"r1bqkb1r/pppp1pp1/4pP1p/8/3N4/8/PPPP1PPP/RNBQKB1R w KQkq - 0 6",887
"r1bqkb1r/pppp1pP1/4p2p/8/3N4/8/PPPP1PPP/RNBQKB1R b KQkq - 0 6",-734
"r1bqk2r/pppp1pb1/4p2p/8/3N4/8/PPPP1PPP/RNBQKB1R w KQkq - 0 7",920
"r1bqk2r/pppp1pb1/4p2p/1N6/8/8/PPPP1PPP/RNBQKB1R b KQkq - 1 7",-809
"r1b1k2r/pppp1pb1/4p2p/1N4q1/8/8/PPPP1PPP/RNBQKB1R w KQkq - 2 8",927
"r1b1k2r/pppp1pb1/4p2p/1N4q1/3P4/8/PPP2PPP/RNBQKB1R b KQkq - 0 8",-1039
"r1b1k2r/pppp1pb1/4pq1p/1N6/3P4/8/PPP2PPP/RNBQKB1R w KQkq - 1 9",1016
"r1b1k2r/pppp1pb1/4pq1p/1N6/3P4/3Q4/PPP2PPP/RNB1KB1R b KQkq - 2 9",-998
"1rb1k2r/pppp1pb1/4pq1p/1N6/3P4/3Q4/PPP2PPP/RNB1KB1R w KQk - 3 10",1038
"1rb1k2r/ppNp1pb1/4pq1p/8/3P4/3Q4/PPP2PPP/RNB1KB1R b KQk - 0 10",-866
"1rbk3r/ppNp1pb1/4pq1p/8/3P4/3Q4/PPP2PPP/RNB1KB1R w KQ - 1 11",1039
"1rbk3r/ppNp1pb1/4pq1p/8/3P4/3QB3/PPP2PPP/RN2KB1R b KQ - 2 11",-818
"1rb4r/ppkp1pb1/4pq1p/8/3P4/3QB3/PPP2PPP/RN2KB1R w KQ - 0 12",800
"1rb4r/ppkp1pb1/4pq1p/8/3P3P/3QB3/PPP2PP1/RN2KB1R b KQ - 0 12",-616
"1rb4r/p1kp1pb1/4pq1p/1p6/3P3P/3QB3/PPP2PP1/RN2KB1R w KQ - 0 13",602
"1rb4r/p1kp1pb1/4pq1p/1p6/3P3P/3QBP2/PPP3P1/RN2KB1R b KQ - 0 13",-776
"1rb4r/p1kp1pb1/4p1qp/1p6/3P3P/3QBP2/PPP3P1/RN2KB1R w KQ - 1 14",766
"1rb4r/p1kp1pb1/4p1qp/1p6/3P1B1P/3Q1P2/PPP3P1/RN2KB1R b KQ - 2 14",-658
"1rb4r/p1kp1pb1/6qp/1p2p3/3P1B1P/3Q1P2/PPP3P1/RN2KB1R w KQ - 0 15",782
"1rb4r/p1kp1pb1/6Qp/1p2p3/3P1B1P/5P2/PPP3P1/RN2KB1R b KQ - 0 15",-839
"1rb4r/p1kp2b1/6pp/1p2p3/3P1B1P/5P2/PPP3P1/RN2KB1R w KQ - 0 16",655
"1rb4r/p1kp2b1/6pp/1p2p3/3P3P/5PB1/PPP3P1/RN2KB1R b KQ - 1 16",-567
"1rb4r/p1k3b1/3p2pp/1p2p3/3P3P/5PB1/PPP3P1/RN2KB1R w KQ - 0 17",714
"1rb4r/p1k3b1/3p2pp/1p2p3/3P3P/2N2PB1/PPP3P1/R3KB1R b KQ - 1 17",-671
"1rb4r/p1k3b1/3p2pp/1p6/3p3P/2N2PB1/PPP3P1/R3KB1R w KQ - 0 18",612
"1rb4r/p1k3b1/3p2pp/1p1N4/3p3P/5PB1/PPP3P1/R3KB1R b KQ - 1 18",-623
"1rb4r/p5b1/2kp2pp/1p1N4/3p3P/5PB1/PPP3P1/R3KB1R w KQ - 2 19",657
"1rb4r/p3N1b1/2kp2pp/1p6/3p3P/5PB1/PPP3P1/R3KB1R b KQ - 3 19",-612
"1rb4r/p2kN1b1/3p2pp/1p6/3p3P/5PB1/PPP3P1/R3KB1R w KQ - 4 20",712
"1rb4r/p2k2b1/3p2Np/1p6/3p3P/5PB1/PPP3P1/R3KB1R b KQ - 0 20",-643
"1rb1r3/p2k2b1/3p2Np/1p6/3p3P/5PB1/PPP3P1/R3KB1R w KQ - 1 21",754
"1rb1r3/p2k2b1/3p2Np/1p6/3p3P/5PB1/PPPK2P1/R4B1R b - - 2 21",-696
"1rb1r3/p2k2b1/3p2N1/1p5p/3p3P/5PB1/PPPK2P1/R4B1R w - - 0 22",739
"1rb1r3/p2k2b1/3p2N1/1p5p/3p3P/5PB1/PPP3P1/R1K2B1R b - - 1 22",-740
"1rb1r3/p1k3b1/3p2N1/1p5p/3p3P/5PB1/PPP3P1/R1K2B1R w - - 2 23",766
"1rb1r3/p1k3b1/3p2N1/1p5p/3p3P/3B1PB1/PPP3P1/R1K4R b - - 3 23",-701
"1rb5/p1k3b1/3p2N1/1p5p/3p3P/3BrPB1/PPP3P1/R1K4R w - - 4 24",676
"1rb5/p1k3b1/3p4/1p5p/3p1N1P/3BrPB1/PPP3P1/R1K4R b - - 5 24",-705
"1rb5/p1k3b1/3p4/1p5p/3p1N1P/3r1PB1/PPP3P1/R1K4R w - - 0 25",737
"1rb5/p1k3b1/3p4/1p5p/3p1N1P/3P1PB1/PP4P1/R1K4R b - - 0 25",-724
"1rb5/p1k5/3p3b/1p5p/3p1N1P/3P1PB1/PP4P1/R1K4R w - - 1 26",710
"1rb5/p1k5/3p3b/1p5p/3p1N1P/3P1PB1/PPK3P1/R6R b - - 2 26",-700
"1rb5/p1k5/3p4/1p5p/3p1b1P/3P1PB1/PPK3P1/R6R w - - 0 27",709
"1rb5/p1k5/3p4/1p5p/3p1B1P/3P1P2/PPK3P1/R6R b - - 0 27",-723
"1r6/pbk5/3p4/1p5p/3p1B1P/3P1P2/PPK3P1/R6R w - - 1 28",724
"1r6/pbk5/3p4/1p4Bp/3p3P/3P1P2/PPK3P1/R6R b - - 2 28",-718
"1r6/p1k5/3p4/1p1b2Bp/3p3P/3P1P2/PPK3P1/R6R w - - 3 29",708
"1r6/p1k5/3p4/1p1b2Bp/3p3P/3P1P2/PP1K2P1/R6R b - - 4 29",-720
"6r1/p1k5/3p4/1p1b2Bp/3p3P/3P1P2/PP1K2P1/R6R w - - 5 30",750
"6r1/p1k5/3p4/1p1b2Bp/P2p3P/3P1P2/1P1K2P1/R6R b - - 0 30",-724
"6r1/p1k5/3p4/3b2Bp/Pp1p3P/3P1P2/1P1K2P1/R6R w - - 0 31",760
"6r1/p1k5/3p4/P2b2Bp/1p1p3P/3P1P2/1P1K2P1/R6R b - - 0 31",-723
"6r1/2k5/p2p4/P2b2Bp/1p1p3P/3P1P2/1P1K2P1/R6R w - - 0 32",793
"6r1/2k5/p2p4/P2b2Bp/1p1p3P/3P1P2/1P1K2P1/R3R3 b - - 1 32",-782
"8/2k3r1/p2p4/P2b2Bp/1p1p3P/3P1P2/1P1K2P1/R3R3 w - - 2 33",895
"8/2k3r1/p2p4/P2b2Bp/Rp1p3P/3P1P2/1P1K2P1/4R3 b - - 3 33",-847
"8/2k3r1/p2p4/P2b2Bp/R2p3P/1p1P1P2/1P1K2P1/4R3 w - - 0 34",887
"8/2k3r1/p2p4/P2b2Bp/3R3P/1p1P1P2/1P1K2P1/4R3 b - - 0 34",-943
"8/2k3r1/p1bp4/P5Bp/3R3P/1p1P1P2/1P1K2P1/4R3 w - - 1 35",931
"8/2k3r1/p1bp4/P5Bp/3R3P/1pKP1P2/1P4P1/4R3 b - - 2 35",-948
"8/3k2r1/p1bp4/P5Bp/3R3P/1pKP1P2/1P4P1/4R3 w - - 3 36",943
"8/3k2r1/p1bp4/P5Bp/1R5P/1pKP1P2/1P4P1/4R3 b - - 4 36",-961
"8/3k2r1/p2p4/Pb4Bp/1R5P/1pKP1P2/1P4P1/4R3 w - - 5 37",947
"8/3k2r1/p2p4/Pb4Bp/7P/1RKP1P2/1P4P1/4R3 b - - 0 37",-986
"8/2k3r1/p2p4/Pb4Bp/7P/1RKP1P2/1P4P1/4R3 w - - 1 38",1022
"8/2k3r1/p2p4/Pb4Bp/3K3P/1R1P1P2/1P4P1/4R3 b - - 2 38",-1013
"8/2k2r2/p2p4/Pb4Bp/3K3P/1R1P1P2/1P4P1/4R3 w - - 3 39",1076
"8/2k2r2/p2p4/Pb4Bp/3K2PP/1R1P1P2/1P6/4R3 b - - 0 39",-1049
"8/2k5/p2p4/Pb4Bp/3K2PP/1R1P1r2/1P6/4R3 w - - 0 40",1108
"8/2k5/p2p4/Pb4BP/3K3P/1R1P1r2/1P6/4R3 b - - 0 40",-1116
"8/2k5/p7/Pb1p2BP/3K3P/1R1P1r2/1P6/4R3 w - - 0 41",1247
"8/2k5/p6P/Pb1p2B1/3K3P/1R1P1r2/1P6/4R3 b - - 0 41",-1242
"5r2/2k5/p6P/Pb1p2B1/3K3P/1R1P4/1P6/4R3 w - - 1 42",1296
